lat,lon,bb_645,normalized
47.0625,-85.52083,0.0019450039,0.39450039000000003
47.0625,-85.479164,0.0019450039,0.39450039000000003
47.0625,-85.4375,0.0019500107,0.39500107000000007
47.0625,-85.39583,0.0019500107,0.39500107000000007
47.0625,-85.354164,0.0019299984,0.39299984
47.0625,-85.3125,0.001880005,0.3880005
47.0625,-85.27083,0.0018649995,0.38649995000000004
47.0625,-85.229164,0.0018700063,0.38700063
47.0625,-85.1875,0.0018749982,0.38749982000000005
47.0625,-85.14583,0.0018649995,0.38649995000000004
47.0625,-85.104164,0.0018350035,0.38350035000000005
47.0625,-85.0625,0.0018350035,0.38350035000000005
47.0625,-85.02083,0.0018550009,0.38550009
47.0625,-84.979164,0.0018900037,0.38900037
47.0625,-84.9375,0.0020399988,0.40008333083333336
47.0625,-84.89583,0.0020700097,0.4001458535416667
47.0625,-84.854164,0.002090007,0.40018751458333335
47.0625,-84.8125,0.002245009,0.4005104354166667
47.0625,-84.77083,0.0022850037,0.40059375770833333
47.0625,-84.729164,0.0029300004,0.40193750083333335
47.020832,-85.979164,0.0018950105,0.38950105
47.020832,-85.9375,0.0019050092,0.39050092000000003
47.020832,-85.89583,0.0019150078,0.39150078000000005
47.020832,-85.854164,0.0018900037,0.38900037
47.020832,-85.8125,0.0018700063,0.38700063
47.020832,-85.77083,0.0018550009,0.38550009
47.020832,-85.729164,0.0018550009,0.38550009
47.020832,-85.6875,0.0018700063,0.38700063
47.020832,-85.64583,0.0018749982,0.38749982000000005
47.020832,-85.604164,0.0018900037,0.38900037
47.020832,-85.5625,0.0018950105,0.38950105
47.020832,-85.52083,0.0018950105,0.38950105
47.020832,-85.479164,0.0019050092,0.39050092000000003
47.020832,-85.4375,0.0019399971,0.39399971
47.020832,-85.39583,0.0019450039,0.39450039000000003
47.020832,-85.354164,0.0019350052,0.39350052
47.020832,-85.3125,0.0019000024,0.39000024
47.020832,-85.27083,0.0018950105,0.38950105
47.020832,-85.229164,0.0019150078,0.39150078000000005
47.020832,-85.1875,0.0019399971,0.39399971
47.020832,-85.14583,0.0019199997,0.39199997000000003
47.020832,-85.104164,0.0018700063,0.38700063
47.020832,-85.0625,0.0018649995,0.38649995000000004
47.020832,-85.02083,0.0018849969,0.38849969
47.020832,-84.979164,0.0019150078,0.39150078000000005
47.020832,-84.9375,0.0021150112,0.4002396066666667
47.020832,-84.89583,0.0021650046,0.40034375958333335
47.020832,-84.854164,0.0022300035,0.4004791739583334
47.020832,-84.8125,0.0021049976,0.40021874500000004
47.020832,-84.77083,0.0021049976,0.40021874500000004
46.979164,-86.104164,0.0018700063,0.38700063
46.979164,-86.0625,0.001880005,0.3880005
46.979164,-86.02083,0.001880005,0.3880005
46.979164,-85.979164,0.0018749982,0.38749982000000005
46.979164,-85.9375,0.0019000024,0.39000024
